Name	Q-E	ZN-E	PH-E	DBO-E	DQO-E	SS-E	SSV-E	SED-E	COND-E	PH-P	DBO-P	SS-P	SSV-P	SED-P	COND-P	PH-D	DBO-D	DQO-D	SS-D	SSV-D	SED-D	COND-D	PH-S	DBO-S	DQO-S	SS-S	SSV-S	SED-S	COND-S	RD-DBO-P	RD-SS-P	RD-SED-P	RD-DBO-S	RD-DQO-S	RD-DBO-G	RD-DQO-G	RD-SS-G	RD-SSED-G
D-9/8/90	44207	1.20	7.8	70	188	112	48.2	1.3	1031	7.9	125	194	41.2	2.8	1074	7.9	44	101	54	61.1	0.2	1064	8.0	12	53	16	62.5	0.00	1056	64.8	72.2	94.5	72.7	47.5	82.9	71.8	85.7	100
D-10/8/90	43563	1.00	7.8	95	206	132	43.9	1.5	828	7.8	74	112	57.1	1.2	856	7.9	47	158	62	64.5	0.1	85	7.9	21	99	39	66.7	0.05	891	36.5	44.6	91.7	55.3	37.3	77.9	51.9	70.5	96.7
D-12/8/90	47718	0.70	7.8	31	81	208	20.2	0.8	715	7.8	32	246	25.2	1.5	714	7.8	?	80	233	20.2	0.7	712	7.9	3	25	12	73.3	0.00	831	?	5.3	53.3	?	68.8	90.3	69.1	94.2	100
D-13/8/90	42587	2.00	7.8	77	256	248	30.6	2.5	910	7.9	71	270	28.9	3.0	931	7.9	26	120	71	45.1	0.3	917	8.0	7	62	9	93.3	0.00	919	63.4	73.7	90.0	73.1	48.3	90.9	75.8	96.4	100
D-15/8/90	35098	0.80	7.8	100	256	234	37.6	2.5	993	7.8	97	168	50.0	1.3	953	7.8	?	140	95	52.6	0.4	1034	8.0	11	58	10	76.0	0.00	985	?	43.5	68.0	?	58.6	89.0	77.3	95.7	100
D-16/8/90	38052	0.80	7.6	94	409	194	57.7	2.5	997	7.6	?	192	54.2	2.5	996	7.7	?	194	103	57.3	0.7	988	7.9	14	65	11	69.1	0.02	990	?	46.4	72.0	?	66.5	85.1	84.1	94.3	99.2
D-17/8/90	31404	0.80	8.0	?	321	160	67.5	2.5	1096	7.9	?	164	61.0	2.5	1136	7.9	?	179	85	65.9	0.3	1082	8.1	11	98	15	66.7	0.00	1061	?	48.2	88.0	?	45.3	?	69.5	90.6	100
D-19/8/90	38905	0.30	7.7	58	197	130	64.6	2.0	1135	7.7	85	146	61.6	2.5	1169	7.8	44	123	54	79.6	0.2	1141	7.9	20	42	16	67.5	0.02	1143	48.2	63.0	94.0	54.5	65.9	65.5	78.7	87.7	99.0
D-20/8/90	38620	0.70	7.5	95	302	176	59.1	3.0	1120	7.6	94	152	59.2	2.5	1145	7.6	48	316	107	64.5	1.2	1155	7.7	19	59	15	77.3	0.05	1040	48.9	29.6	52.0	60.4	81.3	80.0	80.5	91.5	98.3
D-21/8/90	34352	0.27	7.4	112	470	172	65.1	4.5	1207	7.4	100	192	64.6	4.0	1208	7.4	74	213	69	72.5	0.2	1175	7.6	14	97	15	72.0	0.01	1162	26.0	64.1	95.0	81.1	54.5	87.5	79.4	91.3	99.8
D-22/8/90	34785	1.00	7.5	126	397	188	67.0	5.0	1950	7.5	121	190	63.2	3.5	1760	7.6	75	190	68	72.1	0.2	1720	7.7	16	101	15	61.3	0.00	1570	38.0	64.2	95.7	78.7	46.8	87.3	74.6	92.0	100
D-23/8/90	27109	0.40	7.6	158	276	142	64.8	1.5	1939	7.6	205	278	56.1	7.5	1878	7.6	102	269	123	65.9	1.0	1920	7.7	24	77	21	59.0	0.03	1959	50.2	55.8	86.7	76.5	71.4	84.8	72.1	85.2	98.3
D-24/8/90	32802	0.70	7.3	203	405	212	67.9	4.5	1922	7.3	?	320	61.3	8.5	1874	7.4	97	225	74	78.4	0.3	1820	7.4	22	114	24	70.8	0.10	1796	?	76.9	97.1	77.3	49.3	89.2	71.9	88.7	97.8
D-25/8/90	35876	0.50	7.9	81	448	296	?	?	1315	7.7	128	380	?	?	1355	7.8	65	319	70	?	?	1401	7.9	27	123	33	?	?	1525	49.2	81.6	?	58.5	61.4	66.7	72.5	88.9	?
D-27/8/90	41410	0.60	7.9	85	269	110	?	1.5	1342	7.8	139	198	?	4.0	1325	7.8	65	168	65	?	0.2	1362	7.9	15	?	23	?	0.00	1375	53.2	67.2	95.0	76.9	?	82.4	?	79.1	100
D-28/8/90	40933	1.50	7.8	120	303	290	?	4.5	1818	7.8	125	250	?	4.0	1800	7.8	78	192	68	?	0.2	1846	7.9	10	76	10	?	0.02	1723	37.6	72.8	95.0	87.2	60.4	91.7	74.9	96.6	99.6
D-29/8/90	34764	0.90	7.5	127	284	188	?	2.8	2260	7.6	143	222	?	3.5	2500	7.6	114	192	92	?	0.4	2140	7.7	?	62	14	?	0.00	2100	20.3	58.6	90.0	?	67.7	?	78.2	92.6	100
D-30/8/90	39489	0.90	7.8	131	320	166	?	2.5	1680	7.8	135	196	?	2.5	1690	7.8	90	214	88	?	0.2	1551	7.8	15	74	14	?	0.02	1672	33.3	55.1	92.0	83.3	65.4	88.5	76.9	91.6	99.2
D-31/8/90	42230	0.70	8.1	132	288	144	?	1.3	1581	8.3	143	196	?	3.0	1705	8.3	80	184	74	?	0.2	1717	8.3	11	64	13	?	0.00	1720	44.1	62.2	93.3	86.3	65.2	91.7	77.8	91.0	100
D-2/12/90	29388	0.83	8.2	339	713	356	72.5	10	2170	8.0	334	584	83.6	8.5	2110	7.9	223	372	116	84.5	1.3	2140	7.6	17	83	12	71.7	0.01	2330	33.2	80.1	84.7	92.4	77.7	95.0	88.4	96.6	99.9
D-3/12/90	30935	2.00	8.1	255	550	214	69.2	5.5	1919	8.2	227	246	67.5	8.0	1917	8.1	161	372	100	78.0	0.2	1815	7.8	18	87	22	81.8	0.00	1690	29.1	59.3	97.5	88.8	76.6	92.9	84.2	89.7	100
D-4/12/90	26348	1.00	8.1	253	473	212	79.3	7.0	1990	8.1	250	246	74.8	6.0	1950	8.1	202	384	112	82.1	0.2	2220	7.7	23	105	22	89.1	0.01	2130	19.2	54.5	96.7	88.6	72.7	90.9	77.8	89.6	99.9
D-6/12/90	28680	1.70	8.1	256	539	188	74.5	4.7	1803	8.1	337	218	75.2	5.2	1732	8.1	186	365	102	84.3	0.5	1804	7.8	27	116	23	87.0	0.00	1932	44.8	53.2	90.4	85.5	68.2	89.5	78.5	87.8	100
D-7/12/90	32799	5.90	8.4	215	440	190	69.5	?	1380	8.3	228	228	67.5	?	1408	8.1	113	213	78	76.9	?	1362	7.8	9	60	13	76.9	?	1379	50.4	65.8	?	92.0	71.8	95.8	86.4	93.2	?
D-9/12/90	33545	1.30	8.2	145	747	310	55.5	6.0	1059	8.2	181	264	53.0	4.7	1056	8.1	118	353	110	65.5	1.0	1082	7.7	15	100	18	77.8	0.02	1210	34.8	58.3	78.7	87.3	71.7	89.7	86.6	94.2	99.7
D-10/12/90	28791	1.09	8.7	354	539	232	68.1	5.5	1620	8.4	?	178	70.8	2.5	1677	8.4	114	356	130	78.5	1.5	1529	7.9	14	67	17	82.4	0.01	1359	?	27.0	40.0	87.7	81.2	96.0	87.6	92.7	99.8
D-11/12/90	27219	1.50	8.3	302	566	212	69.8	5.7	2270	8.3	319	216	68.5	6.3	2240	8.1	?	475	144	73.6	1.7	2200	?	?	?	?	?	?	?	?	33.3	73.0	?	?	?	?	?	?
D-12/12/90	31849	5.45	8.0	330	511	184	79.3	4.0	2110	8.0	372	212	74.5	5.0	2100	8.1	204	396	128	78.1	1.0	2050	7.7	34	119	33	80.8	0.01	2270	45.2	39.6	80.0	83.3	69.9	89.7	76.7	82.1	99.8
D-13/12/90	30352	5.90	8.2	324	539	196	77.6	4.5	2090	8.2	282	190	72.6	4.5	2180	8.1	203	396	110	85.5	1.0	2130	7.8	21	89	19	89.5	0.01	2210	28.0	42.1	77.8	89.7	77.5	93.5	83.5	90.3	99.8
D-14/12/90	32009	2.87	8.1	288	459	216	73.2	?	1755	8.0	399	258	71.3	?	1690	7.9	183	364	104	76.9	?	1729	7.6	18	75	18	84.4	?	1750	54.1	59.7	?	90.2	79.4	93.8	83.7	91.7	?
D-16/12/90	34492	0.40	7.9	253	354	162	76.5	3.5	1443	8.0	232	202	71.3	4.0	1455	8.2	162	287	96	81.3	0.5	1520	7.9	16	69	12	90.0	0.01	1689	30.2	52.5	87.5	90.1	76.0	93.7	80.5	92.6	99.7
D-17/12/90	36452	0.47	8.2	154	310	128	71.9	3.0	1520	8.2	164	148	70.3	3.0	1350	8.1	126	237	82	80.5	0.2	1403	7.7	15	50	11	90.9	0.00	1280	23.2	44.6	93.3	88.1	78.9	90.3	83.9	91.4	100
D-18/12/90	34361	1.20	8.2	172	345	152	73.7	4.3	1552	8.2	286	156	74.4	3.5	1500	8.2	140	310	74	83.8	0.2	1736	7.8	16	85	14	94.3	0.00	1679	51.0	52.6	94.3	88.6	72.6	90.7	75.4	90.8	100
D-19/12/90	36432	18.2	8.1	168	334	196	65.3	7.0	2230	8.1	188	188	66.0	4.5	2110	8.2	133	210	74	78.4	0.2	2190	7.8	20	74	20	85.0	0.00	2320	29.3	60.6	95.6	85.0	64.8	88.1	77.8	89.8	100
D-20/12/90	37009	1.50	8.3	181	348	184	84.8	4.5	1337	8.3	278	200	78.0	5.5	1479	8.3	124	264	76	89.5	0.2	1544	7.8	21	48	19	90.5	0.00	1605	55.4	62.0	96.4	83.1	81.8	88.4	86.2	89.7	100
D-21/12/90	37281	1.50	8.1	287	484	308	76.6	5.8	1653	8.1	392	308	75.3	5.5	1640	8.1	155	332	118	83.1	0.3	1777	7.8	22	80	16	92.5	0.05	1880	60.5	61.7	94.5	85.8	75.9	92.3	83.5	94.8	99.1
D-23/12/90	28437	1.02	7.9	176	387	162	75.3	3.8	1344	7.9	178	156	79.5	3.0	1331	7.9	155	312	100	84.0	0.6	1420	7.7	17	51	14	71.4	0.00	1468	12.9	35.9	80.0	89.0	83.7	90.3	86.8	91.4	100
D-24/12/90	29955	0.90	7.6	203	301	146	68.5	?	1299	7.8	229	176	64.8	?	1319	7.9	135	242	108	72.2	?	1375	7.6	?	51	32	78.8	?	1430	41.0	38.6	?	?	78.9	?	83.1	78.1	?
D-26/12/90	35263	0.30	8.0	201	434	118	73.0	5.0	1727	8.1	300	214	72.9	4.5	1700	8.1	131	317	114	66.7	0.9	1749	7.7	12	55	18	66.7	0.01	1750	56.3	46.7	80.0	90.8	82.6	94.0	87.3	84.7	99.8
D-27/12/90	34319	0.50	8.1	236	448	178	76.4	5.0	1325	8.0	241	180	76.7	4.5	1259	7.9	150	226	90	77.8	0.5	1344	7.8	16	79	17	85.3	0.01	1276	37.8	50.0	88.9	89.3	65.0	93.2	82.4	90.4	99.8
D-28/12/90	32730	0.96	7.8	290	376	146	83.6	?	1441	7.8	222	154	85.7	?	1460	7.7	150	242	72	83.3	?	1446	7.5	?	89	19	92.6	?	1491	32.4	53.2	?	?	63.2	?	76.3	87.0	?
D-30/12/90	30164	0.53	7.9	232	503	194	78.4	6.0	1200	7.9	407	220	80.0	5.5	1222	8.0	149	297	112	80.4	0.4	1167	7.8	?	?	14	94.3	0.01	1399	63.4	49.1	93.6	?	?	?	?	92.8	99.8
D-1/11/90	45006	5.20	8.0	?	182	134	61.2	2.5	1007	8.0	?	190	50.5	3.0	1041	8.0	?	137	76	84.2	0.2	1106	7.8	?	42	11	76.4	0.01	1117	?	60.0	93.3	?	69.3	?	76.9	91.8	99.6
D-2/11/90	44158	8.10	8.0	124	463	230	47.8	?	1599	7.9	123	230	48.7	3.0	1586	7.9	94	251	88	63.6	?	1631	7.6	27	90	20	70.0	?	1554	23.6	61.7	?	71.3	64.1	78.2	80.6	91.3	?
D-4/11/90	39223	1.80	8.1	151	294	186	57.0	4.0	1006	8.0	148	154	61.0	2.8	1000	7.9	94	204	90	71.1	0.2	988	7.8	9	39	11	87.3	0.02	1038	36.5	41.6	92.7	90.4	80.9	94.0	86.7	94.1	99.5
D-5/11/90	42394	1.51	8.2	241	688	270	53.3	4.5	1566	8.2	331	244	55.7	4.2	1571	8.2	125	294	108	61.1	0.2	1550	7.8	26	?	21	64.8	0.01	1409	62.2	55.7	95.2	79.2	?	89.2	?	92.2	99.8
D-6/11/90	44364	2.50	8.0	182	364	154	68.8	3.0	1672	8.1	156	224	49.1	3.5	1750	8.0	136	261	86	65.1	0.2	1694	7.8	20	83	17	77.6	0.01	1683	12.8	61.6	94.3	85.3	68.2	89.0	77.2	89.0	99.7
D-7/11/90	44235	1.90	7.9	195	428	210	69.5	6.5	1835	8.2	194	250	56.8	3.5	1873	8.2	121	289	104	67.3	0.2	1855	8.0	15	75	22	72.7	0.01	1820	37.6	58.4	94.3	87.6	74.0	92.3	82.5	89.5	99.8
D-8/11/90	45151	1.70	8.3	185	457	184	69.6	4.0	1944	8.3	161	228	61.4	5.5	2050	8.1	109	325	98	75.5	0.4	2090	7.8	18	98	17	75.3	0.05	1824	32.3	57.0	92.7	83.5	69.8	90.3	78.6	90.8	98.8
D-9/11/90	47032	1.50	8.2	139	294	256	40.6	3.0	1456	8.1	140	260	38.5	2.5	1361	8.0	81	172	90	55.6	0.2	1504	7.7	11	55	14	71.4	0.00	1751	42.1	65.4	92.0	86.4	68.0	92.1	81.3	94.5	100
D-11/11/90	41372	1.58	7.8	119	220	128	62.5	1.5	1444	7.9	117	138	55.1	1.2	1493	7.9	91	161	76	68.4	0.3	1391	7.9	7	45	9	84.4	0.01	1431	22.2	44.9	75.0	92.3	72.0	94.1	79.5	93.0	99.3
D-12/11/90	45729	4.50	8.2	139	263	144	61.1	1.5	1665	8.3	159	204	50.9	2.5	1717	8.0	85	208	80	82.5	0.2	1807	7.8	9	51	10	90.0	0.01	1698	46.5	60.8	92.0	89.4	75.5	93.5	80.6	93.1	99.3
D-13/11/90	49314	2.30	8.1	166	318	118	55.9	2.5	1820	8.0	198	134	62.7	2.0	1779	8.1	95	213	60	70.0	0.2	1768	7.9	15	74	12	76.7	0.01	1810	52.0	55.2	90.0	84.2	65.3	91.0	76.7	89.8	99.6
D-14/11/90	44038	0.43	8.0	138	304	136	66.2	2.5	2050	8.1	144	168	60.7	3.0	2000	8.2	107	243	68	88.2	0.2	1852	7.8	17	106	20	85.0	0.01	1854	25.7	59.5	93.3	84.1	56.4	87.7	65.1	85.3	99.6
D-15/11/90	29816	0.48	8.5	251	447	152	65.8	3.3	1770	8.4	312	204	62.7	3.8	2880	8.2	192	439	108	72.2	0.9	2490	7.9	26	158	30	82.7	0.01	2240	38.5	47.1	76.0	86.5	64.0	89.6	64.7	80.3	99.7
D-16/11/90	29448	0.13	8.2	192	357	286	79.0	?	2950	7.9	127	230	70.4	?	2980	7.7	158	304	92	89.1	?	2780	7.6	27	77	31	87.7	?	2790	?	60.0	?	82.9	74.7	85.9	78.4	89.2	?
D-18/11/90	35825	1.40	8.0	111	371	142	73.2	4.5	1440	8.0	157	154	71.4	4.0	1437	7.9	109	197	80	90.0	0.2	1560	7.7	14	131	24	83.3	0.01	1757	30.6	48.1	96.3	87.2	33.5	87.4	64.7	83.1	99.8
D-19/11/90	47384	0.80	8.2	147	224	146	65.8	4.0	1758	8.2	118	138	66.7	1.4	1740	8.0	85	106	74	70.3	0.2	1712	7.7	15	23	18	82.2	0.00	1707	28.0	46.4	85.7	82.4	78.3	89.8	89.7	87.7	100
D-20/11/90	47306	0.14	8.2	206	324	166	63.9	3.5	1782	8.0	261	146	68.5	3.0	1830	8.0	105	220	84	71.4	0.2	1879	7.8	12	66	23	66.1	0.05	1833	59.8	42.5	93.3	88.6	70.0	94.2	79.6	86.1	98.6
D-21/11/90	40127	7.90	8.1	233	456	214	67.3	6.0	1586	8.1	268	238	69.7	4.5	1672	8.0	114	260	74	81.1	0.2	1784	7.9	33	140	32	78.1	0.01	1839	57.5	68.9	95.6	71.1	46.2	85.8	69.3	85.0	99.8
D-22/11/90	28005	3.45	8.2	226	419	178	70.8	4.5	2210	8.3	197	218	70.6	4.0	2150	8.2	141	318	100	80.0	0.4	2170	7.8	19	100	28	75.7	0.03	1914	28.4	54.1	91.3	86.5	68.6	91.6	76.1	84.3	99.4
D-23/11/90	28819	2.24	8.4	195	392	188	70.2	4.0	2790	8.2	218	210	66.7	4.0	2680	8.0	130	267	82	78.0	0.3	2550	7.9	18	86	19	78.9	0.00	2520	40.4	61.0	93.8	86.2	67.8	90.8	78.1	89.9	100
D-25/11/90	27098	2.12	8.2	197	497	254	73.2	6.5	1685	8.2	?	274	66.4	7.0	1681	8.2	130	307	132	72.7	1.3	1697	7.7	10	70	19	73.7	0.00	1894	?	51.8	82.1	92.3	77.2	94.9	85.9	92.5	100
D-26/11/90	42667	2.70	8.3	173	427	208	71.2	5.5	1979	8.4	221	204	70.6	5.0	1955	8.3	113	291	82	82.9	0.2	1862	7.7	16	105	20	86.0	0.02	1789	48.9	59.8	97.0	85.8	63.9	90.8	75.4	90.4	99.6
D-27/11/90	47222	2.21	8.1	148	321	142	73.2	3.0	1681	8.1	194	242	66.9	7.0	1704	8.0	130	274	104	75.0	0.8	1653	7.8	12	78	14	82.9	0.01	1705	33.0	57.0	88.6	90.8	71.5	91.9	75.7	90.1	99.7
D-28/11/90	32157	0.60	8.1	243	572	200	78.0	4.5	2280	8.2	289	240	74.2	6.5	2340	8.0	166	372	98	81.6	0.2	2320	7.8	13	86	13	89.2	0.00	2230	42.6	59.2	97.7	92.2	76.9	94.7	85.0	93.5	100
D-29/11/90	25687	1.23	8.2	316	743	280	72.1	6.5	2390	7.8	363	260	70.8	7.0	2460	8.1	169	408	112	76.8	0.3	2380	7.7	16	98	16	77.5	0.01	2210	53.4	56.9	96.4	90.5	76.0	94.9	86.8	94.3	99.8
D-30/11/90	26040	2.10	8.1	302	702	244	75.4	8.5	2480	8.0	357	304	71.1	11.5	2250	8.0	194	412	114	82.5	0.2	2640	7.8	19	118	18	83.3	0.00	2590	45.7	62.5	98.3	90.2	71.4	93.7	83.2	92.6	100
D-1/10/90	47623	3.40	7.7	283	310	170	61.2	2.5	1065	7.8	235	270	51.1	5.5	1100	7.8	110	227	108	66.7	0.5	1090	7.9	16	85	20	80.0	0.02	993	53.2	60.0	91.8	85.5	62.6	94.3	72.6	88.2	99.2
D-2/10/90	54578	3.60	7.9	313	341	512	33.6	6.0	915	7.9	205	520	33.8	7.5	976	7.9	107	200	106	64.2	0.2	1002	7.9	13	74	16	80.0	0.00	1021	47.8	79.6	97.3	87.9	63.0	95.8	78.3	96.9	100
D-3/10/90	36911	6.00	7.7	300	610	452	45.1	8.0	1313	7.7	375	556	43.9	10.0	1312	7.7	150	323	212	49.1	2.5	1238	7.7	21	116	14	85.7	0.02	1133	60.0	61.9	75.0	86.0	64.1	93.0	81.0	96.9	99.8
D-4/10/90	35244	6.00	7.8	177	412	196	69.4	4.5	2190	7.8	330	476	52.1	7.5	2330	7.8	151	274	124	61.3	0.3	2350	7.7	8	90	17	76.5	0.02	2220	54.2	73.9	96.7	94.7	67.2	95.5	78.2	91.3	99.6
D-5/10/90	39566	5.80	7.7	192	416	236	57.6	4.5	1447	7.6	296	384	54.2	7.0	1445	7.7	148	270	108	66.7	0.4	1380	7.8	13	78	14	71.4	0.02	1408	50.0	71.9	94.3	91.2	71.1	93.2	81.3	94.1	99.6
D-7/10/90	45469	1.97	7.3	129	237	234	38.5	1.5	1190	7.4	123	228	42.1	2.0	1202	7.4	73	175	110	34.5	0.2	1309	7.5	7	66	19	63.2	0.02	1631	40.7	51.8	90.0	90.4	62.3	94.6	72.2	91.9	98.7
D-8/10/90	46240	2.70	7.9	122	287	168	50.0	2.0	1906	7.8	157	188	53.2	2.0	2130	7.8	99	198	92	58.7	0.2	810	7.8	12	43	16	77.5	0.05	1425	36.9	51.1	92.5	87.9	78.3	90.2	85.0	90.5	97.5
D-9/10/90	45903	1.30	8.0	90	271	144	66.7	4.5	1221	8.0	110	164	70.7	3.0	1209	7.8	78	179	74	73.0	0.2	1266	7.7	10	41	14	74.3	0.05	1283	29.1	54.9	95.0	87.2	77.1	88.9	84.9	90.3	98.9
D-10/10/90	44343	1.25	8.0	169	327	126	68.3	2.5	1940	8.1	172	180	77.8	2.5	1950	7.8	106	272	78	79.5	0.2	1886	7.9	15	93	17	72.9	0.02	1891	38.4	56.7	92.0	85.8	65.8	91.1	71.6	86.5	99.2
D-12/10/90	39343	4.80	8.0	140	555	282	45.4	6.5	850	8.0	134	208	48.1	3.5	890	7.9	44	160	76	60.5	0.2	906	7.8	7	75	10	72.0	0.02	882	67.2	63.5	94.3	84.1	53.1	95.0	86.5	96.5	99.7
D-14/10/90	34347	0.80	7.9	155	243	210	47.6	2.5	848	7.9	170	138	52.2	1.5	858	8.0	89	133	74	75.7	0.3	902	8.0	9	35	12	58.3	0.02	898	47.6	46.4	83.3	89.9	73.7	94.2	85.6	94.3	99.2
D-15/10/90	53012	3.50	8.2	157	361	208	51.0	5.0	1015	8.2	197	188	53.2	4.0	931	8.1	93	204	86	60.5	0.3	1019	7.9	12	51	17	58.8	0.02	967	52.8	54.3	93.8	87.1	75.0	92.4	85.9	91.8	99.6
D-16/10/90	52258	1.50	8.4	195	246	172	60.5	3.5	1631	8.3	184	156	69.2	3.8	1564	8.2	92	165	86	72.1	0.4	1626	8.0	11	42	18	77.8	0.01	1635	50.0	44.9	89.3	88.0	74.5	94.4	82.9	89.5	99.7
D-17/10/90	49493	3.70	8.1	102	269	156	52.6	2.5	1082	7.9	177	152	52.6	2.5	1180	8.0	68	165	76	71.1	0.2	1041	7.8	10	54	13	83.1	0.02	1079	61.6	50.0	92.0	85.3	67.3	90.2	79.9	91.7	99.2
D-18/10/90	46200	2.50	8.3	192	294	172	55.8	3.5	1983	8.3	157	150	61.3	2.0	1934	8.1	107	207	104	61.5	0.4	1886	7.9	15	69	20	84.0	0.02	1880	31.8	30.7	82.5	86.0	66.7	92.2	76.5	88.4	99.4
D-19/10/90	46069	6.00	8.2	185	334	156	60.3	4.0	1987	8.3	217	162	64.2	4.0	2100	8.2	121	299	114	64.9	0.5	2050	7.9	16	65	11	80.0	0.03	2040	44.2	29.6	87.5	86.8	78.3	91.4	80.5	92.9	99.3
D-21/10/90	44324	1.60	7.8	174	173	134	68.7	2.5	967	7.8	165	114	68.4	2.0	980	7.8	104	202	100	70.0	0.3	1013	7.8	21	81	28	75.7	0.10	1105	37.0	12.3	87.5	79.8	59.9	87.9	53.2	79.1	96.0
D-22/10/90	48950	2.50	8.1	109	211	880	13.2	5.5	1745	7.9	154	1108	13.7	7.0	1534	8.0	46	111	118	44.1	0.4	1556	7.9	7	35	13	76.9	0.01	1495	70.1	89.4	95.0	84.8	68.5	93.6	83.4	98.5	99.8
D-23/10/90	60017	3.50	7.9	120	284	518	17.8	4.0	1048	7.9	115	460	20.0	4.0	1046	8.0	92	215	134	43.3	0.5	1135	8.0	11	88	20	54.0	0.01	1171	20.0	70.9	88.8	88.0	59.1	90.8	69.0	96.1	99.8
D-24/10/90	41569	3.30	7.9	115	357	334	33.5	3.5	1760	8.0	186	464	37.9	6.0	1858	8.0	92	230	110	54.5	0.5	1785	7.9	8	61	18	57.8	0.02	1595	50.5	76.3	92.5	91.3	73.5	93.0	82.9	94.6	99.4
D-25/10/90	40915	2.00	8.0	244	?	194	50.5	3.2	1885	8.0	?	284	42.3	2.8	2080	7.9	141	251	140	52.9	0.6	2020	8.0	13	63	16	62.5	0.02	2030	?	50.7	78.6	90.8	74.9	94.7	?	91.8	99.4
D-26/10/90	44858	1.41	8.1	380	318	194	55.7	2.7	1970	8.1	137	188	55.3	1.8	2080	8.0	99	239	104	63.5	0.4	2130	7.9	16	71	22	59.1	0.02	2190	27.7	44.7	77.8	83.8	70.3	95.8	77.7	88.7	99.3
D-28/10/90	47576	5.97	8.1	?	188	128	67.2	2.0	1465	8.1	?	158	55.7	2.0	1489	7.9	?	176	80	80.0	0.3	1435	7.8	?	59	24	73.3	0.02	1566	?	49.4	85.0	?	66.5	?	68.6	81.3	99.0
D-29/10/90	47501	1.00	8.2	?	384	180	64.4	3.5	1567	8.2	?	224	55.4	2.5	1512	8.1	?	270	110	63.6	0.3	1570	7.8	?	122	22	68.2	0.01	1463	?	50.9	88.0	?	54.8	?	68.2	87.8	99.7
D-30/10/90	47506	0.50	8.0	?	307	196	60.2	4.0	1557	8.0	?	228	49.1	5.0	1575	8.0	?	233	96	62.5	0.3	1620	7.9	?	74	26	60.0	0.01	1639	?	57.9	94.0	?	68.2	?	75.9	86.7	99.8
D-1/3/91	26343	2.07	7.7	275	553	528	43.9	7.0	1105	7.8	166	516	45.0	8.5	1174	7.9	84	265	158	59.5	1.4	1422	7.7	24	87	29	82.8	0.10	1782	49.4	69.4	83.5	71.4	67.2	91.3	84.3	94.5	98.6
D-3/3/91	32884	0.80	7.8	169	337	132	75.8	2.5	1568	7.9	192	204	68.6	4.5	1526	7.9	137	332	126	77.8	1.8	1516	7.7	14	71	14	94.3	0.02	1450	28.6	38.2	60.0	89.8	78.6	91.7	78.9	89.4	99.2
D-4/3/91	40745	1.50	7.7	156	547	166	66.3	6.0	1667	7.9	135	174	67.8	4.0	1730	7.9	118	333	100	74.0	1.0	1619	7.7	15	120	17	82.4	0.02	1576	12.6	42.5	75.0	87.3	64.0	90.4	78.1	89.8	99.7
D-5/3/91	39804	4.85	7.9	209	416	196	68.4	5.0	1711	7.9	277	250	69.6	7.0	1774	7.9	138	348	110	78.2	0.6	1845	7.7	16	107	19	77.8	0.02	1813	50.2	56.0	91.4	88.4	69.3	92.3	74.3	90.3	99.6
D-6/3/91	45804	2.20	7.9	170	380	146	79.5	4.5	1949	7.9	236	160	76.3	4.5	1957	7.9	161	328	82	90.2	0.6	2110	7.8	23	127	21	93.3	0.02	2130	31.8	48.8	86.7	85.7	61.3	86.5	66.6	85.6	99.6
D-7/3/91	42289	3.30	7.7	150	289	182	73.6	2.5	1698	8.0	130	134	68.7	2.0	1718	8.0	76	202	68	73.5	0.5	1604	7.7	25	87	21	83.8	0.00	1694	41.5	49.3	75.0	67.1	56.9	83.3	69.9	88.5	100
D-8/3/91	44548	1.40	7.9	218	272	216	40.7	?	1360	7.9	261	236	44.1	?	1328	7.8	154	213	100	64.0	?	1427	7.7	16	101	18	84.4	?	1514	41.0	57.6	?	89.6	52.6	92.7	62.9	91.7	?
D-10/3/91	36792	0.70	7.9	168	303	148	66.2	2.5	1069	8.0	158	158	65.8	3.0	1070	7.9	92	248	74	86.5	0.4	1150	7.7	16	78	12	83.3	0.00	1244	41.8	53.2	88.3	82.6	68.5	90.5	74.3	91.9	100
D-11/3/91	36410	1.60	8.0	173	396	242	57.0	6.8	1879	8.1	253	210	63.8	6.3	1916	7.9	85	341	108	66.7	0.7	1761	7.7	21	70	18	88.9	0.03	1605	66.4	48.6	88.8	75.3	79.5	87.9	82.3	92.6	99.6
D-12/3/91	33988	2.50	7.8	161	391	148	73.0	4.5	1551	7.9	183	170	69.4	4.0	1505	7.9	151	313	86	86.0	0.9	1512	7.8	19	94	14	97.2	0.02	1439	17.5	49.4	77.5	87.4	70.0	88.2	76.0	90.5	99.6
D-13/3/91	36479	3.80	8.1	192	422	176	68.2	4.5	2080	8.0	202	220	63.6	5.7	2100	7.9	132	367	118	79.7	1.2	2140	7.8	20	152	16	87.5	0.00	2290	34.7	46.4	78.9	84.8	58.6	89.6	64.0	90.9	100
D-14/3/91	31592	4.70	8.0	217	549	248	67.7	7.0	1370	8.1	255	224	67.9	5.0	1483	8.1	154	406	102	80.4	0.6	1410	7.8	15	74	13	86.2	0.00	1406	39.6	54.5	88.0	90.3	81.8	93.1	86.5	94.8	100
D-15/3/91	31789	2.10	7.9	215	549	234	71.8	5.5	2370	7.9	328	272	72.3	5.0	2410	7.9	204	428	112	78.6	1.0	2360	7.8	18	101	18	88.9	0.00	2300	37.8	58.8	80.0	91.2	76.4	91.6	81.6	92.3	100
