alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g	function	gene
0.01	-0.021	-0.01	-0.047	-0.026	?	-0.002	0.002	-0.031	-0.012	-0.078	-0.043	-0.035	-0.052	-0.029	-0.05	0.031	0.059	-0.007	-0.052	0.045	0.01	0.093	0.033	-0.074	-0.052	-0.093	-0.081	0.028	-0.107	-0.073	-0.097	0.017	0.021	0.079	0.057	0.079	0.067	0.062	0.041	0.066	0.005	0.066	-0.007	0.073	0.028	0.154	-0.1	-0.211	-0.211	-0.261	-0.183	-0.093	-0.078	-0.059	0.085	-0.301	-0.276	-0.088	-0.162	-0.228	-0.159	-0.162	-0.104	0.002	0.071	-0.131	-0.162	-0.107	-0.024	-0.145	-0.235	-0.029	-0.085	-0.038	-0.029	-0.066	-0.216	-0.326	Ribo	YOR182C
-0.042	?	-0.037	0.006	-0.025	0.009	-0.022	0.044	-0.001	-0.013	0.015	-0.025	?	0.001	0.035	0.018	0.023	-0.034	0.02	-0.02	0.031	0.07	0.034	0.037	0.009	-0.037	-0.034	-0.053	0.035	-0.079	-0.088	-0.085	0.006	0.037	0.067	0.063	0.085	0.083	0.085	0.075	0.076	0.029	0.077	0.061	0.085	0.012	0.156	-0.047	-0.183	-0.234	-0.269	-0.221	-0.142	-0.029	-0.034	0.13	-0.329	-0.374	-0.02	-0.164	-0.173	-0.173	-0.199	-0.047	-0.037	0.057	-0.111	-0.159	-0.042	0.042	-0.094	-0.135	?	-0.082	-0.053	-0.085	-0.053	-0.24	-0.301	Ribo	YJL189W
0.007	-0.037	-0.016	-0.02	?	-0.073	0.002	0.002	-0.024	-0.036	-0.002	-0.088	-0.02	-0.037	0.041	-0.044	0.06	-0.055	-0.095	-0.065	0.02	-0.002	0.067	0.033	0.051	-0.01	-0.016	-0.037	-0.005	-0.062	-0.059	-0.068	-0.036	0.018	0.051	0.051	0.086	0.088	0.072	0.046	0.067	0.01	0.065	0.023	0.047	0.047	0.083	-0.047	-0.21	-0.222	-0.228	-0.178	-0.121	0.029	-0.041	0.099	-0.091	-0.098	-0.015	-0.24	-0.355	-0.3	-0.15	-0.073	0.018	0.041	-0.121	-0.168	-0.037	-0.047	-0.132	-0.292	0.01	-0.028	-0.037	-0.08	-0.049	-0.292	-0.336	Ribo	YDR447C
0.026	-0.052	-0.016	-0.027	?	-0.061	0.005	-0.029	-0.037	-0.01	-0.029	-0.068	0.01	-0.055	0.034	-0.047	0.061	-0.023	-0.024	-0.024	0.023	-0.011	0.045	0.019	0.005	0.01	-0.002	-0.029	-0.047	-0.029	-0.035	-0.093	-0.069	-0.027	0.018	0.018	0.081	0.053	0.073	0.084	0.018	0.011	0.061	0.037	0.048	-0.015	0.048	-0.064	-0.176	-0.237	-0.208	-0.171	-0.135	-0.027	-0.032	0.077	-0.231	-0.264	-0.068	-0.213	-0.305	-0.342	-0.181	0.039	0.032	0.039	-0.119	-0.226	-0.032	-0.044	-0.143	-0.251	-0.011	-0.032	-0.019	-0.064	-0.058	-0.243	-0.297	Ribo	YKR094C
-0.047	-0.002	-0.066	-0.03	-0.097	-0.01	-0.07	-0.056	-0.021	0.028	-0.059	-0.035	-0.005	-0.082	0.007	0.007	0.005	0.005	-0.056	0.08	0.063	0.078	0.049	0.101	0.056	0.057	0.012	0.028	0.045	-0.031	-0.066	-0.012	-0.05	-0.031	-0.005	0.035	0.037	0.037	0.002	0.033	0.019	-0.038	0.035	0.057	-0.024	-0.043	0.005	-0.031	-0.169	-0.243	-0.212	-0.179	-0.137	0.042	-0.047	0.115	-0.23	-0.271	-0.026	-0.217	-0.217	-0.263	-0.2	-0.163	-0.04	0.043	-0.117	-0.179	-0.056	-0.03	-0.19	-0.263	-0.021	-0.038	-0.073	-0.089	-0.07	-0.2	-0.348	Ribo	YIL148W
0.004	-0.05	-0.03	-0.03	-0.013	-0.032	0.001	0.097	0.011	0.003	0.033	0.018	0.016	0.026	0.048	0.103	-0.007	0.041	-0.093	-0.033	0.009	0.086	0.036	-0.008	0.042	0.027	0.043	0.043	-0.003	0.013	-0.011	-0.028	-0.004	-0.026	0.009	-0.036	-0.042	-0.069	-0.048	0.054	0.027	?	-0.028	0.069	-0.111	-0.02	-0.104	0.068	-0.216	-0.258	-0.284	-0.178	-0.06	0.062	0.004	0.202	-0.369	-0.451	0.011	-0.118	-0.284	-0.199	-0.114	-0.128	0.038	-0.011	-0.052	-0.139	-0.013	-0.042	-0.114	-0.163	0.013	0.02	0.027	0.004	-0.007	-0.011	-0.222	Ribo	YBL072C
0.004	0.041	-0.049	-0.004	-0.025	0.01	0.005	-0.025	0.038	0.035	0.022	-0.005	0.027	-0.04	0.049	0.005	0.038	-0.005	-0.104	0.07	0.041	0.049	0.079	0.091	0.068	0.086	0.034	0.06	0.083	0.008	-0.016	0.004	-0.019	0.025	0.044	0.074	0.09	0.091	0.07	0.086	0.07	0.034	0.063	0.07	0.033	?	0.08	0.031	-0.176	-0.244	-0.281	0.052	-0.067	0.083	-0.02	0.135	-0.337	-0.36	?	-0.128	-0.289	-0.224	-0.132	-0.186	0.059	0.01	-0.085	-0.171	-0.037	-0.037	-0.145	-0.231	0.045	-0.014	0.071	0.014	-0.023	-0.176	-0.251	Ribo	YLR388W
0.011	?	0.021	0.046	0.017	0.023	-0.009	0.017	0.104	0.005	0.11	0.018	?	0.04	0.09	0.096	0.06	0.052	-0.141	0.024	0.107	0.052	0.04	0.107	0.13	0.089	0.037	0.095	0.083	0.055	-0.034	-0.002	-0.052	-0.023	0.023	0.069	0.098	0.098	0.083	0.128	0.04	0.06	0.092	0.073	0.017	-0.021	0.096	0.017	-0.157	-0.171	-0.18	-0.144	-0.044	0.089	-0.034	0.142	-0.297	-0.344	0.038	-0.124	-0.333	-0.214	-0.131	-0.214	0.099	-0.011	-0.052	-0.191	0.046	-0.014	-0.058	-0.202	0.032	0.002	0.038	-0.014	-0.026	-0.136	-0.274	Ribo	YDL061C
0.027	-0.033	0.006	-0.004	0.027	-0.025	-0.013	0.006	0.078	0.001	0.129	-0.026	0.035	0.01	0.106	0.069	0.017	-0.061	0.001	-0.055	0.009	0.104	0.065	0.065	0.075	0.081	0.036	0.014	-0.009	0.03	-0.029	0.001	-0.026	0.017	0.056	0.065	0.081	0.08	0.069	0.067	0.071	0.038	0.067	0.072	0.074	0.043	0.084	-0.004	-0.171	-0.177	-0.203	-0.158	-0.065	0.029	-0.022	0.172	-0.273	-0.315	-0.042	-0.162	-0.259	-0.307	-0.207	-0.226	0.119	0.056	-0.058	-0.177	-0.029	-0.071	-0.158	-0.298	0.017	0.004	0.038	0.03	0.012	-0.081	-0.231	Ribo	YLR167W
0.03	-0.018	0.011	-0.005	0.017	-0.023	-0.027	0.029	0.056	-0.002	0.089	-0.014	0.029	0.009	0.08	0.056	0.012	-0.054	-0.096	-0.06	0.029	0.104	0.123	0.098	0.104	0.065	-0.015	-0.005	0.021	0.011	-0.054	-0.023	?	0.036	0.086	0.074	0.102	0.092	0.093	0.105	0.092	0.05	0.084	0.149	0.06	0.054	0.084	0.005	-0.107	-0.198	-0.227	-0.159	-0.014	0.077	-0.018	0.111	-0.301	-0.319	-0.027	-0.173	-0.338	-0.24	-0.15	-0.177	0.105	0.012	-0.041	-0.138	0.011	-0.03	-0.084	-0.254	0.018	0.015	0.035	0.017	0.036	-0.134	-0.276	Ribo	YLR333C
0.041	-0.009	-0.023	-0.005	-0.023	-0.001	0.004	0.016	0.028	-0.023	0.033	-0.027	0.027	-0.029	0.053	0.001	-0.013	-0.001	0.011	-0.009	0.037	0.024	0.082	0.08	0.076	0.093	0.033	0.027	0.021	-0.013	-0.031	-0.024	0.074	0.04	-0.009	-0.04	-0.053	-0.024	-0.027	-0.004	-0.039	-0.043	-0.051	-0.06	-0.062	-0.082	-0.043	-0.04	-0.166	-0.201	-0.238	-0.072	?	0.008	-0.062	0.191	-0.378	-0.461	-0.005	-0.114	-0.308	-0.245	-0.133	-0.145	0.057	0.033	-0.089	-0.175	0.016	-0.016	-0.051	-0.238	0.013	0.009	0.032	0.02	-0.013	-0.085	-0.274	Ribo	YOR369C
?	-0.038	-0.031	-0.031	-0.025	-0.028	-0.008	-0.014	-0.021	-0.032	-0.054	-0.045	0.017	-0.048	-0.004	-0.051	0.056	-0.035	-0.061	-0.041	-0.004	0.03	0.056	0.055	-0.031	0.016	-0.032	-0.02	0.035	-0.061	-0.111	-0.051	-0.149	-0.054	-0.035	0.006	0.042	0.016	0.016	0.027	-0.017	-0.038	0.016	-0.076	-0.042	-0.056	-0.025	-0.085	-0.207	-0.259	-0.299	-0.176	-0.111	-0.013	-0.056	0.149	-0.29	-0.4	-0.054	-0.141	-0.245	-0.231	-0.125	-0.172	-0.014	-0.042	-0.154	-0.13	-0.013	-0.004	-0.079	-0.137	-0.013	-0.021	0.006	-0.061	-0.048	-0.202	-0.29	Ribo	YGL030W
-0.015	-0.03	-0.012	0.024	-0.015	-0.005	-0.015	0.015	-0.005	-0.041	0.012	-0.044	0.01	-0.028	0.062	-0.018	0.076	-0.03	-0.09	-0.048	0.008	-0.004	0.051	0.059	0.017	0.018	-0.018	-0.004	-0.035	-0.015	-0.068	-0.059	-0.104	0.035	-0.027	-0.051	-0.062	-0.018	-0.059	0.143	0.189	-0.104	0.004	-0.036	-0.078	0.007	-0.096	0.018	-0.25	-0.242	-0.25	-0.148	-0.055	-0.041	-0.055	0.162	-0.356	-0.356	-0.022	-0.136	-0.264	-0.194	-0.081	-0.128	0.061	-0.011	-0.073	-0.173	0.017	-0.062	-0.102	-0.223	0.05	0.044	0.046	0.008	-0.011	-0.16	-0.264	Ribo	YLR367W
-0.012	-0.048	-0.069	-0.039	?	-0.052	-0.012	-0.055	0.001	0.006	0.004	-0.01	-0.01	-0.035	0.001	-0.003	-0.031	-0.007	-0.096	-0.03	0.033	0.072	0.014	0.049	0.016	0.101	0.056	0.063	-0.018	0.024	0.025	0.014	-0.024	0.047	-0.041	-0.03	-0.064	-0.004	-0.046	0.07	0.022	-0.088	-0.039	0.025	-0.164	-0.037	-0.057	0.004	-0.211	-0.291	-0.271	-0.199	-0.118	0.06	-0.012	0.142	-0.314	-0.443	-0.073	-0.135	-0.263	-0.211	-0.132	-0.151	0.041	-0.003	-0.066	-0.147	0.024	-0.037	-0.121	-0.205	0.024	0.015	0.056	0.015	0.004	-0.132	-0.16	Ribo	YPL090C
-0.02	-0.112	-0.011	-0.035	0.045	-0.08	?	-0.024	0.024	-0.024	0.073	-0.035	0.001	-0.043	0.051	-0.001	0.036	-0.05	-0.126	-0.096	-0.004	0.036	0.054	-0.038	-0.024	0.024	0.027	-0.012	-0.069	-0.017	-0.004	-0.058	-0.017	-0.027	0.021	0.019	0.029	0.019	0.031	0.017	0.004	-0.011	0.029	-0.001	0.023	0.004	0.029	-0.018	-0.231	-0.276	-0.276	-0.167	-0.082	-0.001	-0.04	0.146	-0.364	-0.413	-0.09	-0.259	-0.19	-0.167	-0.076	-0.106	0.023	-0.027	-0.074	-0.14	-0.027	-0.096	-0.123	-0.18	-0.024	-0.051	-0.026	-0.045	-0.024	-0.18	-0.259	Ribo	YPL081W
0.033	-0.035	-0.018	-0.036	-0.032	-0.036	0.005	-0.011	?	-0.011	-0.017	-0.017	0.024	-0.017	0.017	-0.008	-0.054	0.005	-0.059	-0.011	0.019	0.055	0.061	0.048	0.059	0.03	0.03	0.049	0.041	0.004	-0.012	-0.005	-0.061	-0.041	-0.018	0.007	0.022	0.018	0.022	0.01	-0.007	-0.03	0.005	-0.116	-0.026	-0.05	-0.022	0.01	-0.261	-0.295	-0.306	-0.22	-0.116	0.054	-0.05	0.183	-0.328	-0.254	-0.036	-0.202	-0.269	-0.208	-0.116	-0.083	0.037	-0.026	-0.083	-0.149	-0.011	-0.032	-0.045	-0.171	0.008	-0.05	-0.004	-0.094	-0.1	-0.202	-0.34	Ribo	YGL076C
-0.01	-0.062	-0.01	-0.062	-0.059	-0.056	-0.021	?	-0.004	0.004	-0.034	-0.01	-0.01	0.015	-0.004	-0.001	-0.072	0.064	-0.105	-0.001	0.038	0.006	0.115	0.101	-0.018	0.098	0.037	0.022	0.036	0.001	?	?	-0.021	0.034	0.05	0.018	0.031	0.021	0.034	0.004	0.024	0.004	0.031	0.046	0.041	0.009	0.053	0.022	-0.166	-0.217	-0.272	-0.17	-0.075	0.053	-0.064	0.105	-0.323	-0.323	-0.086	-0.257	-0.343	-0.28	-0.191	-0.102	-0.006	0.038	-0.099	-0.152	-0.105	-0.04	-0.092	-0.17	0.01	0.021	0.074	-0.015	-0.034	-0.132	-0.272	Ribo	YBR084C-A
-0.023	-0.085	-0.019	-0.052	-0.04	-0.058	-0.021	0.058	0.001	0.04	-0.03	-0.023	-0.017	-0.01	0.006	0.026	0.019	0.01	-0.129	-0.019	0.045	-0.012	0.069	0.102	0.043	0.109	0.07	0.034	0.01	0.001	0.008	0.001	-0.032	0.019	0.041	-0.017	0.006	0.004	0.021	-0.01	0.043	-0.04	0.004	0.004	?	-0.008	0.022	0.001	-0.133	-0.202	-0.246	-0.138	-0.07	0.084	-0.052	0.103	-0.283	-0.34	-0.07	-0.26	-0.33	-0.292	-0.197	-0.122	0.022	0.041	-0.102	-0.138	-0.095	-0.037	-0.088	-0.202	0.006	0.001	0.054	-0.023	-0.037	-0.154	-0.34	Ribo	YBL027W
-0.02	-0.07	-0.028	-0.03	-0.043	-0.065	-0.039	-0.057	-0.011	-0.046	-0.039	-0.039	-0.014	-0.067	-0.007	-0.027	-0.035	0.017	-0.111	-0.077	-0.007	0.001	0.008	0.053	-0.008	0.029	0.01	0.007	0.004	0.001	-0.011	-0.022	-0.135	0.012	0.043	0.024	-0.054	0.004	0.012	0.14	0.06	-0.059	0.046	-0.033	-0.098	0.019	-0.022	-0.012	-0.164	-0.188	-0.241	-0.131	-0.048	0.071	-0.033	0.139	-0.318	-0.308	-0.039	-0.182	-0.289	-0.271	-0.139	-0.169	0.022	0.004	-0.111	-0.164	-0.072	-0.052	-0.139	-0.308	0.023	-0.011	0.041	-0.008	-0.057	-0.177	-0.289	Ribo	YJL136C
-0.043	-0.019	-0.081	-0.034	-0.074	-0.034	-0.069	-0.048	-0.022	0.019	-0.038	-0.043	-0.011	-0.09	-0.013	-0.043	-0.028	-0.023	-0.071	-0.001	-0.038	0.047	0.042	0.08	0.029	0.058	0.004	0.046	0.046	0.027	-0.015	-0.011	-0.041	-0.005	0.013	0.023	0.033	0.015	0.039	0.036	0.029	-0.009	0.042	0.01	0.009	-0.019	0.024	?	-0.15	-0.192	-0.227	-0.131	-0.053	0.015	-0.018	0.149	-0.325	-0.335	-0.053	-0.192	-0.335	-0.215	-0.15	-0.254	0.042	0.025	-0.085	-0.182	-0.079	-0.032	-0.203	-0.24	0.037	-0.015	0.025	-0.009	-0.048	-0.192	-0.277	Ribo	YKR057W
-0.001	-0.05	-0.056	-0.056	-0.009	-0.063	0.009	-0.047	-0.034	-0.02	0.105	-0.044	0.018	-0.061	0.015	-0.039	0.042	-0.02	-0.173	-0.053	-0.015	-0.059	0.012	0.006	-0.018	?	0.056	0.063	-0.022	0.01	-0.001	-0.063	-0.034	?	0.042	0.047	0.086	0.066	0.067	0.054	0.023	-0.01	0.056	-0.05	0.004	-0.015	0.053	-0.01	-0.155	-0.209	-0.189	-0.123	-0.069	0.061	-0.018	0.117	-0.319	-0.339	-0.091	-0.189	-0.301	-0.209	-0.108	-0.193	0.01	-0.025	-0.108	-0.178	-0.104	-0.126	-0.199	-0.269	0.048	0.018	0.023	-0.013	-0.025	-0.189	-0.269	Ribo	YLR185W
0.008	-0.046	-0.072	-0.026	-0.107	-0.022	-0.08	-0.046	-0.012	0.01	-0.018	-0.032	-0.014	-0.046	-0.001	0.014	-0.007	-0.001	-0.11	0.074	0.031	0.078	0.052	0.078	0.058	0.055	0.014	0.018	0.043	-0.032	-0.028	-0.038	-0.014	0.017	0.024	0.007	0.012	0.01	0.01	0.01	-0.008	-0.05	0.028	-0.035	-0.011	-0.032	0.005	0.048	-0.22	-0.232	-0.278	-0.171	-0.072	0.041	-0.018	0.169	-0.352	-0.367	-0.014	-0.196	-0.261	-0.22	-0.116	-0.163	0.004	0.005	-0.065	-0.12	-0.054	-0.032	-0.196	-0.247	0.024	0.005	0.049	-0.017	-0.043	-0.134	-0.261	Ribo	YER074W
-0.004	0.013	-0.067	?	-0.054	-0.012	-0.005	0.013	0.014	-0.022	?	-0.008	0.019	-0.027	0.049	-0.014	0.01	0.005	-0.082	0.019	-0.036	0.099	0.069	0.084	0.11	0.037	?	0.018	0.05	-0.007	-0.041	-0.005	-0.043	?	-0.094	-0.027	0.025	0.029	0.038	0.041	-0.007	-0.059	-0.001	0.067	0.03	-0.061	-0.024	0.008	-0.226	-0.277	-0.287	-0.171	-0.051	0.022	0.001	0.22	-0.339	-0.366	-0.035	-0.186	-0.339	-0.232	-0.134	-0.134	0.062	0.013	-0.051	-0.123	-0.032	-0.027	-0.127	-0.186	0.049	0.005	0.038	-0.004	-0.018	-0.149	-0.171	Ribo	YOR096W
-0.001	-0.042	-0.012	-0.031	-0.011	-0.022	0.005	-0.018	0.007	-0.015	-0.022	-0.031	0.007	-0.031	0.012	-0.024	0.007	0.013	-0.096	-0.053	0.018	0.071	0.098	0.081	0.01	0.059	0.028	0.035	0.022	-0.005	-0.028	-0.009	-0.039	-0.024	-0.004	0.065	0.024	0.04	0.026	0.018	0.042	-0.011	-0.028	-0.068	-0.005	-0.015	-0.007	-0.015	-0.219	-0.302	-0.293	-0.2	-0.076	0.054	-0.042	0.142	-0.283	-0.322	-0.053	-0.225	-0.237	-0.259	-0.133	-0.133	0.026	-0.031	-0.099	-0.161	-0.06	-0.037	-0.129	-0.231	0.013	-0.024	0.001	-0.073	-0.078	-0.219	-0.266	Ribo	YPL198W
-0.017	-0.048	-0.043	-0.083	-0.048	-0.061	-0.004	-0.046	-0.024	?	-0.028	-0.036	-0.014	-0.033	?	-0.039	-0.017	-0.018	-0.193	-0.054	0.01	0.028	0.07	0.075	0.052	0.072	0.034	0.055	0.036	0.013	0.012	0.014	-0.028	0.01	0.036	0.018	0.045	0.03	0.013	-0.005	-0.018	-0.035	0.01	-0.095	-0.024	-0.046	-0.035	-0.005	-0.169	-0.248	-0.271	-0.198	-0.072	0.099	-0.039	0.146	-0.318	-0.297	-0.036	-0.164	-0.308	-0.172	-0.075	-0.117	0.029	-0.067	-0.089	-0.138	-0.072	-0.113	-0.135	-0.271	0.04	0.004	-0.026	-0.075	-0.086	-0.228	-0.279	Ribo	YLR448W
-0.015	-0.041	-0.046	-0.037	-0.055	-0.055	-0.009	-0.019	-0.022	-0.005	-0.049	-0.06	-0.009	-0.057	0.009	-0.071	0.013	0.01	-0.117	-0.029	0.014	0.02	0.042	0.071	-0.005	0.046	0.037	0.032	0.018	-0.005	-0.037	-0.032	0.001	0.015	0.032	0.02	0.023	0.031	0.033	0.024	0.001	-0.019	0.029	-0.065	?	-0.022	0.019	-0.06	-0.156	-0.255	-0.235	-0.183	-0.077	0.033	-0.037	0.106	-0.306	-0.375	-0.054	-0.229	-0.296	-0.188	-0.124	-0.055	0.009	0.013	-0.097	-0.16	-0.101	-0.094	-0.151	-0.287	0.01	0.01	-0.015	-0.046	-0.063	-0.216	-0.296	Ribo	YOR234C
0.015	-0.039	-0.048	-0.041	-0.053	-0.053	0.001	-0.031	0.008	-0.033	-0.006	-0.028	0.01	-0.048	0.018	-0.015	-0.006	-0.01	-0.031	-0.048	0.049	0.031	0.016	0.041	0.036	0.057	0.029	0.059	0.04	0.029	-0.009	-0.017	-0.017	0.01	0.02	0.024	0.031	0.023	0.025	0.033	0.018	-0.012	0.007	0.062	0.018	-0.004	0.018	0.001	-0.24	-0.257	-0.286	-0.179	-0.103	-0.01	-0.058	0.132	-0.42	-0.452	-0.029	-0.156	-0.257	-0.226	-0.132	-0.122	0.045	0.006	-0.065	-0.122	0.012	-0.069	-0.044	-0.219	?	-0.006	0.004	-0.021	-0.009	-0.082	-0.212	Ribo	YNL178W
-0.003	-0.072	-0.01	-0.049	-0.045	-0.065	-0.006	-0.004	0.008	0.015	-0.028	0.007	0.016	-0.03	0.008	0.047	-0.013	0.019	-0.147	-0.061	-0.018	-0.003	0.03	0.042	0.001	0.051	0.048	0.052	-0.013	0.013	-0.007	-0.006	-0.016	0.012	0.022	0.007	0.02	0.008	?	?	-0.004	-0.03	0.007	0.03	0.001	-0.013	0.001	0.008	-0.21	-0.277	-0.269	-0.188	-0.105	0.047	0.024	0.13	-0.364	-0.403	-0.059	-0.177	-0.277	-0.229	-0.124	-0.183	0.046	0.006	-0.072	-0.143	-0.045	-0.047	-0.093	-0.177	0.019	0.024	0.021	0.008	0.013	-0.168	-0.269	Ribo	YBR181C
0.026	-0.046	-0.032	-0.037	-0.041	-0.051	0.009	-0.035	0.015	-0.018	0.005	-0.012	0.026	-0.044	0.03	-0.012	0.013	-0.012	-0.058	0.009	0.021	0.037	0.033	0.05	0.027	0.049	0.039	0.067	-0.009	0.041	0.019	-0.013	-0.018	0.009	0.042	0.039	0.047	0.041	0.03	0.031	0.019	-0.008	0.033	-0.013	0.031	-0.004	0.032	0.014	-0.169	-0.257	-0.272	-0.175	-0.06	0.112	-0.049	0.146	-0.377	-0.408	-0.032	-0.2	-0.264	-0.205	-0.121	-0.082	0.039	0.004	-0.098	-0.151	0.001	-0.063	-0.098	-0.243	0.054	0.001	0.018	-0.015	0.001	-0.189	-0.289	Ribo	YOL121C
-0.01	-0.021	-0.057	-0.001	-0.024	-0.007	0.003	-0.016	0.03	-0.01	-0.001	-0.011	0.011	-0.003	0.03	0.012	-0.003	0.028	-0.078	-0.006	0.004	0.074	0.107	0.087	0.073	0.102	0.078	0.072	0.041	0.039	0.013	0.031	-0.046	-0.003	0.019	0.034	0.043	0.049	0.036	0.048	0.041	0.02	0.015	0.082	0.001	-0.006	0.001	0.017	-0.212	-0.206	-0.271	-0.195	-0.064	-0.001	-0.089	0.087	-0.324	-0.43	-0.036	-0.156	-0.301	-0.19	-0.122	-0.112	0.058	-0.011	-0.05	-0.129	-0.034	-0.068	-0.098	-0.184	0.02	-0.018	-0.01	-0.011	-0.011	-0.206	-0.324	Ribo	YLL045C
0.022	-0.042	-0.026	-0.017	0.018	-0.047	0.017	-0.04	?	-0.018	0.004	-0.026	0.028	-0.018	0.033	-0.004	0.037	-0.011	-0.152	-0.024	-0.007	0.051	0.04	0.031	0.028	0.062	0.068	0.059	0.004	0.038	0.005	-0.004	-0.073	-0.047	-0.018	0.022	0.034	0.019	0.017	0.008	-0.029	-0.04	-0.011	0.005	-0.066	-0.068	-0.066	-0.014	-0.156	-0.217	-0.243	-0.156	-0.038	0.04	-0.042	0.138	-0.409	-0.429	-0.024	-0.147	-0.283	-0.129	-0.053	-0.139	0.034	-0.075	-0.081	-0.152	-0.001	-0.079	-0.118	-0.243	0.031	0.018	0.052	-0.042	-0.034	-0.199	-0.291	Ribo	YGR214W
-0.017	0.007	-0.017	-0.007	-0.015	0.017	-0.005	0.046	0.004	0.025	-0.017	-0.007	?	-0.012	-0.001	?	0.014	0.025	-0.12	0.082	0.019	0.097	0.124	0.092	0.083	0.09	0.045	0.084	0.057	0.032	0.017	0.028	-0.063	-0.04	-0.027	0.028	0.03	0.022	0.004	0.004	-0.015	-0.04	-0.004	0.052	-0.077	-0.088	-0.085	-0.012	-0.177	-0.198	-0.255	-0.187	-0.031	0.047	-0.072	0.175	-0.379	-0.379	0.004	-0.151	-0.287	-0.164	-0.077	-0.085	0.036	-0.098	-0.067	-0.155	-0.011	-0.042	-0.083	-0.142	0.04	0.028	0.056	-0.015	-0.042	-0.24	-0.317	Ribo	YLR048W
-0.015	-0.005	-0.071	-0.015	-0.028	-0.011	-0.012	-0.018	-0.018	-0.036	-0.031	-0.044	0.018	-0.028	0.02	-0.027	?	-0.018	-0.085	0.01	-0.082	0.055	0.118	0.082	0.05	0.087	0.017	0.054	0.054	0.001	0.032	0.028	-0.085	-0.044	-0.015	0.018	0.047	0.029	0.004	0.044	-0.005	-0.037	?	-0.042	-0.055	-0.047	-0.058	0.022	-0.219	-0.245	-0.276	-0.185	-0.076	0.025	-0.036	0.168	-0.375	-0.336	-0.005	-0.126	-0.294	-0.153	-0.091	-0.093	0.039	-0.097	-0.055	-0.153	-0.027	-0.037	-0.141	-0.201	0.026	-0.017	0.031	-0.037	-0.069	-0.232	-0.303	Ribo	YNL301C
0.035	-0.023	?	-0.014	0.005	-0.037	0.024	0.003	0.009	-0.008	0.003	-0.021	0.017	0.003	0.047	0.005	0.051	0.029	-0.069	0.023	0.029	0.062	0.075	0.066	0.071	0.079	0.055	0.051	0.029	0.024	0.009	-0.007	0.055	0.055	0.059	-0.042	-0.039	-0.029	0.013	0.045	0.051	-0.034	-0.02	0.037	0.014	0.035	0.052	-0.005	-0.26	-0.328	-0.305	-0.224	-0.123	0.057	-0.05	0.127	-0.317	-0.328	-0.035	-0.149	-0.268	-0.231	-0.094	-0.129	0.053	-0.065	-0.088	-0.123	0.012	-0.014	-0.029	-0.157	0.008	0.007	-0.029	-0.067	-0.049	-0.175	-0.305	Ribo	YJR145C
0.015	-0.036	-0.017	-0.036	-0.025	-0.063	0.018	-0.018	0.001	-0.036	-0.027	-0.017	0.015	-0.033	0.026	-0.021	0.036	-0.005	-0.109	-0.009	0.044	-0.005	0.071	0.032	0.034	0.11	0.069	0.064	0.017	0.02	0.009	0.007	-0.055	-0.028	0.01	0.017	0.032	0.031	0.031	0.022	0.005	-0.022	0.013	?	-0.018	-0.025	-0.012	-0.033	-0.238	-0.294	-0.303	-0.213	-0.123	0.028	-0.053	0.105	-0.336	-0.375	-0.052	-0.162	-0.276	-0.22	-0.097	-0.137	0.045	-0.082	-0.069	-0.141	-0.025	-0.036	-0.042	-0.191	0.04	0.063	0.04	-0.037	-0.015	-0.191	-0.26	Ribo	YHR203C
0.021	-0.029	-0.018	0.001	0.018	-0.01	0.02	-0.009	0.01	-0.018	0.015	-0.009	0.019	0.006	0.054	0.012	0.043	0.011	-0.068	-0.006	0.008	?	0.04	0.053	0.039	0.053	0.03	0.026	0.003	0.034	0.001	0.011	-0.022	0.014	0.015	-0.075	-0.066	-0.048	-0.006	0.088	-0.034	-0.085	-0.041	0.051	-0.083	-0.007	-0.018	-0.02	-0.253	-0.27	-0.29	-0.215	-0.111	0.058	-0.053	0.099	-0.359	-0.379	-0.023	-0.134	-0.302	-0.215	-0.096	-0.096	0.038	0.001	-0.063	-0.145	-0.003	-0.093	-0.012	-0.244	0.011	0.008	0.018	-0.038	-0.041	-0.182	-0.244	Ribo	YJR123W
